API_WellNo,FileNumber,Operator,WellName,County,Pool_Nm,PoolCompDate,Date_Treat,Top_,Bot,Frac_Acid,Units,Vol,Lbs_Prop,Acid_Con,MTPress,MTRate_N,Stages,Wh_Lat,Wh_Long
33061045350000,36757,"KRAKEN DEVELOPMENT III, LLC",ARROW A 15-22 #4TFH,MOUNTRAIL,BAKKEN,12/2/2019,10/30/2019,10345,19174,SAND,Bbl,260459,15315380,NULL,9229,83.3,60,48.16883444,-102.4868411
33061045340000,36756,"KRAKEN DEVELOPMENT III, LLC",ETHAN 15-22 #3TFH,MOUNTRAIL,BAKKEN,12/2/2019,10/21/2019,10340,20459,SAND,Bbl,261965,15249600,NULL,9249,82.8,60,48.16883463,-102.4869764
33061045330000,36755,"KRAKEN DEVELOPMENT III, LLC",PENNY 15-22 #2TFH,MOUNTRAIL,BAKKEN,12/2/2019,10/21/2019,10400,20519,SAND,Bbl,262424,15256965,NULL,9284,84.9,60,48.16883481,-102.4871118
33061045320000,36754,"KRAKEN DEVELOPMENT III, LLC",CANDACE 15-22 #1TFH,MOUNTRAIL,BAKKEN,12/3/2019,10/21/2019,1020,20606,SAND,Bbl,262576,15249510,NULL,9383,81.5,60,48.168835,-102.4872471
33105052440000,36652,"KRAKEN OPERATING, LLC",RED 22-15 #1H,WILLIAMS,BAKKEN,10/24/2019,9/16/2019,9949,20115,SAND,Bbl,211730,10154328,NULL,9443,93.7,60,48.5741781,-103.452953
33105052430000,36651,"KRAKEN OPERATING, LLC",WHITE 23-14 #1H,WILLIAMS,BAKKEN,10/22/2019,9/16/2019,10073,20356,SAND,Bbl,209945,10154330,NULL,9249,83.2,60,48.57417782,-103.4528166
33105052420000,36650,"KRAKEN OPERATING, LLC",BLUE 26-35 #1TFH,WILLIAMS,BAKKEN,10/24/2019,9/16/2019,10148,20491,SAND,Bbl,209127,10154550,NULL,9172,84.1,60,48.57417754,-103.4526802
33105052320000,36632,"KRAKEN OPERATING, LLC",STEVENSON-GARNER LE 31-30  #1H,WILLIAMS,BAKKEN,10/8/2019,8/20/2019,10576,20722,SAND,Bbl,205015,10154398,NULL,9308,94.8,60,48.45864403,-103.3868948
33053091010000,36599,WHITING OIL AND GAS CORPORATION,ERICKSON 14-23-2H,MCKENZIE,BAKKEN,11/26/2019,9/17/2019,11945,21622,ACID,Bbl,535,NULL,15,9000,5.6,1,47.96114587,-103.8255709
33053091010000,36599,WHITING OIL AND GAS CORPORATION,ERICKSON 14-23-2H,MCKENZIE,BAKKEN,11/26/2019,10/12/2019,11945,21622,SAND,Bbl,133752,6405943,15,9027,55.5,39,47.96114587,-103.8255709
33053091000000,36598,WHITING OIL AND GAS CORPORATION,ERICKSON 14-23-3H,MCKENZIE,BAKKEN,11/24/2019,10/14/2019,11486,21495,SAND,Bbl,140217,7966733,15,9126,56.2,40,47.96107664,-103.8254158
33053090990000,36597,WHITING OIL AND GAS CORPORATION,ERICKSON 44-35HU,MCKENZIE,BAKKEN,11/23/2019,10/14/2019,11427,NULL,SAND,Bbl,119544,6999984,15,9024,56.5,34,47.96100743,-103.8252649
33061045070000,36559,WHITING OIL AND GAS CORPORATION,FLADELAND 14-26HU,MOUNTRAIL,BAKKEN,10/22/2019,9/26/2019,10264,19209,SAND,Bbl,201416,8723160,NULL,8903,61.6,35,48.03892055,-102.3523635
33053090920000,36558,"PEREGRINE PETROLEUM PARTNERS, LTD",LARSON 15-10 1H,MCKENZIE,BAKKEN,9/7/2019,8/28/2019,11090,20826,SAND,Bbl,160828,4980543,15,8926,52,25,47.46018981,-103.6519258
33061045060000,36546,WHITING OIL AND GAS CORPORATION,HAUGE 44-36HU,MOUNTRAIL,BAKKEN,9/27/2019,9/2/2019,10122,19442,SAND,Bbl,205007,9030980,NULL,9222,62.1,37,48.02389883,-102.3120827
