rmse,case,
0.041658,field-dept-nans,
0.040931,field-dept-nans,
0.0429235,field-dept-nans,
0.0433038,field-dept-nans,
0.0398071,field-dept-nans,
0.037413,field-dept-nans,
0.04488632,field-dept-impute,
0.043469,field-dept-impute,
0.045721,field-dept-impute,
0.044985,field-dept-impute,
0.04412,field-dept-impute,
0.04532,field-dept-impute,
0.043405,field-indept-nans,
0.0413176,field-indept-nans,
0.03982,field-indept-nans,
0.04092,field-indept-nans,
0.03918,field-indept-nans,
0.04021,field-indept-nans,
0.0443985,field-indept-impute,
0.040931,field-indept-impute,
0.045211,field-indept-impute,
0.043977,field-indept-impute,
0.040458,field-indept-impute,
0.04233,field-indept-impute,
0.04407,field-fcnn-1,
0.04498,field-fcnn-1,
0.04117,field-fcnn-1,
0.043141,field-fcnn-1,
0.03973,field-fcnn-1,
0.04512,field-fcnn-1,
0.043801,field-fcnn-2,
0.0410959,field-fcnn-2,
0.0438019,field-fcnn-2,
0.035821,field-fcnn-2,
0.037382,field-fcnn-2,
0.038942,field-fcnn-2,
