rmse,case
0.021,sim-dept-full
0.024,sim-dept-full
0.025,sim-dept-full
0.029,sim-dept-full
0.025,sim-dept-full
0.022,sim-dept-full
0.08,sim-dept-nans
0.065,sim-dept-nans
0.085,sim-dept-nans
0.108,sim-dept-nans
0.066,sim-dept-nans
0.089,sim-dept-nans
0.101,sim-dept-impute
0.086,sim-dept-impute
0.072,sim-dept-impute
0.09,sim-dept-impute
0.09,sim-dept-impute
0.074,sim-dept-impute
0.026,sim-indept-full
0.027,sim-indept-full
0.024,sim-indept-full
0.021,sim-indept-full
0.023,sim-indept-full
0.02,sim-indept-full
0.069,sim-indept-nans
0.099,sim-indept-nans
0.064,sim-indept-nans
0.07,sim-indept-nans
0.093,sim-indept-nans
0.073,sim-indept-nans
0.081,sim-indept-impute
0.067,sim-indept-impute
0.092,sim-indept-impute
0.08,sim-indept-impute
0.078,sim-indept-impute
0.092,sim-indept-impute
